candidate_phrase,normalized_phrase,query,occurrence_count,source_count,evidence_id,source_id,source_title,author,page_number,heading,matched_raw_terms,matched_registered_terms,proximity_reason,first_seen_at,status
the image of god,the image of god,image of God,20,4,AQUINAS_SUMMA_EVID_01200_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1200,Article. 2 - Whether the image of God is to be found in irrational creatures?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
and works its,and works its,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
and works its agreement,and works its agreement,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
and works its agreement with,and works its agreement with,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
apostle james concerning faith,apostle james concerning faith,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
concerning faith and works,concerning faith and works,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
concerning faith and works its,concerning faith and works its,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
faith and works its,faith and works its,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
holy spirit,holy spirit,procession of the spirit,10,5,PHILIP_SCHAFF_HCC4_EVID_00438_BODY_01,PHILIP_SCHAFF_HCC4,"History of the Christian Church, Volume IV: Mediaeval Christianity. A.D. 590-1073",Philip Schaff,438,The Controversy on the Procession of the Holy Spirit,procession; spirit,,,2026-09-04T17:19:48.899911+00:00,pending
the holy spirit,the holy spirit,procession of the spirit,10,5,PHILIP_SCHAFF_HCC4_EVID_00438_BODY_01,PHILIP_SCHAFF_HCC4,"History of the Christian Church, Volume IV: Mediaeval Christianity. A.D. 590-1073",Philip Schaff,438,The Controversy on the Procession of the Holy Spirit,procession; spirit,,,2026-09-04T17:19:48.899911+00:00,pending
